line,character,dialogue,episode
302,LUKE,Uncle Owen!  Aunt Beru!  Uncle Owen!,IV
303,VADER,"And, now Your Highness, we will discuss the location of your hidden Rebel base.",IV
304,BEN,"There s nothing you could have done, Luke, had you been there.  You d have been killed, too, and the droids would now be in the hands of the Empire.",IV
305,LUKE,I want to come with you to Alderaan.  There s nothing here for me now.  I want to learn the ways of the Force and become a Jedi like my father.,IV
306,BEN,Mos Eisley Spaceport.  You will never find a more wretched hive of scum and villainy.  We must be cautious.,IV
307,TROOPER,How long have you had these droids?,IV
308,LUKE,About three or four seasons.,IV
309,BEN,They re for sale if you want them.,IV
310,TROOPER,Let me see your identification.,IV
311,BEN,You don t need to see his identification.,IV
312,TROOPER,We don t need to see his identification.,IV
313,BEN,looking for.,IV
314,TROOPER,These are not the droids we re looking for.,IV
315,BEN,He can go about his business.,IV
316,TROOPER,You can go about your business.,IV
317,BEN,Move along.,IV
318,TROOPER,Move along.  Move along.,IV
319,THREEPIO,I can t abide these Jawas.  Disgusting creatures.,IV
320,LUKE,"Go on, go on.  I can t understand how we got by those troopers.  I thought we were dead.",IV
321,BEN,The Force can have a strong influence on the weak-minded.  You will find it a powerful ally.,IV
322,LUKE,Do you really think we re going to find a pilot here that ll take us to Alderaan?,IV
323,BEN,"Well, most of the best freighter pilots can be found here.  Only watch your step.  This place can be a little rough.",IV
324,LUKE,I m ready for anything.,IV
325,THREEPIO,"Come along, Artoo.",IV
326,BARTENDER,We don t serve their kind here!,IV
327,LUKE,What?,IV
328,BARTENDER,Your droids. They ll have to wait outside.  We don t want them here.,IV
329,LUKE,"Listen, why don t you wait out by the speeder.  We don t want any trouble.",IV
330,THREEPIO,I heartily agree with you sir.,IV
331,CREATURE,Negola dewaghi wooldugger?!?,IV
332,HUMAN,He doesn t like you.,IV
333,LUKE,I m sorry.,IV
334,HUMAN,I don t like you either,IV
335,HUMAN,Don t insult us.  You just watch yourself.  We re wanted men.  I have the death sentence on twelve systems.,IV
336,LUKE,I ll be careful than.,IV
337,HUMAN,You ll be dead.,IV
338,BEN,This little one isn t worth the effort.  Come let me buy you something...,IV
339,BARTENDER,No blasters!  No blaster!,IV
340,BEN,This is Chewbacca.  He s first-mate on a ship that might suit our needs.,IV
341,THREEPIO,I don t like the look of this.,IV
342,HAN,Han Solo.  I m captain of the Millennium Falcon.  Chewie here tells me you re looking for passage to the Alderaan system.,IV
343,BEN,"Yes, indeed.  If it s a fast ship.",IV
344,HAN,Fast ship?  You ve never heard of the Millennium Falcon?,IV
345,BEN,Should I have?,IV
346,HAN,It s the ship that made the Kessel run in less than twelve parsecs!,IV
347,HAN,"I ve outrun Imperial starships, not the local bulk-cruisers, mind you.  I m talking about the big Corellian ships now.  She s fast enough for you, old man.  What s the cargo?",IV
