line,character,dialogue,episode
303,VADER,What of the reports of the Rebel fleet massing near Sullust?,VI
304,EMPEROR,"It is of no concern. Soon the Rebellion will be crushed and young Skywalker will be one of us! Your work here is finished, my friend. Go out to the command ship and await my orders.",VI
305,VADER,"Yes, my Master.",VI
306,HAN,"If they don t go for this, we re gonna have to get outta here pretty quick, Chewie.",VI
307,CONTROLLER,We have you on our screen now. Please identify.,VI
308,HAN,Shuttle Tydirium requesting deactivation of the deflector shield.,VI
309,CONTROLLER,"Shuttle Tydirium, transmit the clearance code for shield passage.",VI
310,HAN,Transmission commencing.,VI
311,LEIA,Now we find out if that code is worth the price we paid.,VI
312,HAN,It ll work. It ll work.,VI
313,LUKE,Vader s on that ship.,VI
314,HAN,"Now don t get jittery, Luke. There are a lot of command ships. Keep your distance though, Chewie, but don t look like you re trying to keep your distance.",VI
315,HAN,I don t know.  Fly casual.,VI
316,LUKE,I m endangering the mission. I shouldn t have come.,VI
317,HAN,"It s your imagination, kid. Come on. Let s keep a little optimism here.",VI
318,VADER,Where is that shuttle going?,VI
319,PIETT,"Shuttle Tydirium, what is your cargo and destination?",VI
320,PILOT VOICE,Parts and technical crew for the forest moon.,VI
321,VADER,Do they have a code clearance?,VI
322,PIETT,"It s an older code, sir, but it checks out. I was about to clear them.",VI
323,PIETT,Shall I hold them?,VI
324,VADER,No. Leave them to me. I will deal with them myself.,VI
325,PIETT,"As you wish, my lord.  Carry on.",VI
326,HAN,"They re not goin  for it, Chewie.",VI
327,CONTROLLER,"Shuttle Tydirium, deactivation of the shield will commence immediately. Follow your present course.",VI
328,HAN,Okay! I told you it was gonna work. No problem.,VI
329,THREEPIO,"Oh, I told you it was dangerous here.",VI
330,LEIA,Shall we try and go around?,VI
331,HAN,It ll take time. This whole party ll be for nothing if they see us.,VI
332,HAN,Chewie and I will take care of this. You stay here.,VI
333,LUKE,"Quietly, there might be more of them out there.",VI
334,HAN,Hey... it s me.,VI
335,SCOUT #1,Go for help! Go!,VI
336,LUKE,Great. Come on.,VI
337,LEIA,Over there! Two more of them!,VI
338,LUKE,"I see them. Wait, Leia!",VI
339,LUKE,Quick! Jam their comlink. Center switch!,VI
340,HAN,"Hey, wait! Ahhh!",VI
341,LUKE,Move closer!,VI
342,LUKE,Get alongside that one!,VI
343,LUKE,Get him!,VI
344,LUKE,Keep on that one! I ll take these two!,VI
345,THREEPIO,"Oh, General Solo, somebody s coming. Oh!",VI
346,HAN,Luke! Where s Leia?,VI
347,LUKE,What? She didn t come back?,VI
348,HAN,I thought she was with you.,VI
349,LUKE,We got separated.,VI
350,LUKE,"Hey, we better go look for her.",VI
351,HAN,Take the squad ahead.  We ll meet at the shield generator at 0300.,VI
352,LUKE,"Come on, Artoo.  We ll need your scanners.",VI
353,THREEPIO,"Don t worry, Master Luke.  We know what to do.",VI
354,THREEPIO,And you said it was pretty here. Ugh!,VI
355,LEIA,Cut it out!,VI
356,LEIA,I m not gonna hurt you.,VI
357,LEIA,"Well, looks like I m stuck here. Trouble is, I don t know where here is.",VI
358,LEIA,"Well, maybe you can help me. Come on, sit down.",VI
359,LEIA,I promise I won t hurt you. Now come here.,VI
360,LEIA,All right. You want something to eat?,VI
361,LEIA,That s right. Come on. Hmmm?,VI
362,LEIA,"Look, it s a hat. It s not gonna hurt you. Look. You re a jittery little thing, aren t you?",VI
363,LEIA,What is it?,VI
364,SCOUT #l,"Freeze!  Come on, get up!",VI
365,SCOUT #1,Go get your ride and take her back to base.,VI
366,SCOUT #2,"Yes, sir.",VI
367,LEIA,"Come on, let s get outta here.",VI
368,GUARD,Halt! The Emperor does not wish to be disturbed at the moment.,VI
369,VADER,"The Emperor will see me, now!",VI
370,GUARD,"The Emperor will see you, now.",VI
371,EMPEROR,I told you to remain on the command ship.,VI
372,VADER,A small Rebel force has penetrated the shield and landed on Endor.,VI
373,EMPEROR,"Yes, I know.",VI
374,VADER,My son is with them.,VI
375,EMPEROR,Are you sure?,VI
376,VADER,"I have felt him, my Master.",VI
377,EMPEROR,"Strange, that I have not. I wonder if your feelings on this matter are clear, Lord Vader.",VI
378,VADER,"They are clear, my Master.",VI
379,EMPEROR,Then you must go to the Sanctuary Moon and wait for them.,VI
380,VADER,He will come to me?,VI
381,EMPEROR,I have foreseen it. His compassion for you will be his undoing. He will come to you and then you will bring him before me.,VI
382,VADER,As you wish.,VI
383,HAN,Luke! Luke!,VI
384,THREEPIO,"Oh, Master Luke.",VI
385,LUKE,There s two more wrecked speeders back there. And I found this.,VI
386,THREEPIO,I m afraid that Artoo s sensors can find no trace of Princess Leia.,VI
387,HAN,I hope she s alright.,VI
388,HAN,"What, Chewie? What? Chewie!",VI
389,HAN,"Hey, I don t get it.",VI
390,HAN,"Nah, it s just a dead animal, Chewie.",VI
391,LUKE,"Chewie, wa-wait!  Don t!",VI
392,HAN,"Nice work. Great, Chewie! Great! Always thinking with your stomach.",VI
393,LUKE,"Will you take it easy? Let s just figure out a way to get out of this thing.  Han, can you reach my lightsaber?",VI
394,HAN,"Yeah, sure.",VI
395,THREEPIO,"Artoo, I m not sure that s such a good idea. It s a very long dro-o-op!!",VI
396,HAN,Wha--?  Hey!  Point that thing someplace else.,VI
397,HAN,Hey!,VI
398,LUKE,"Han, don t. It ll be all right.",VI
399,LUKE,"Chewie, give  em your crossbow.",VI
400,THREEPIO,"Oh, my head. Oh, my goodness!",VI
401,LUKE,Do you understand anything they re saying?,VI
402,THREEPIO,"Oh, yes, Master Luke!  Remember that I am fluent in over six million forms of communication.",VI
403,HAN,What are you telling them?,VI
404,THREEPIO,"Hello, I think... I could be mistaken. They re using a very primitive dialect.  But I do believe they think I am some sort of god.",VI
405,HAN,"Well, why don t you use your divine influence and get us out of this?",VI
406,THREEPIO,"I beg your pardon, General Solo, but that just wouldn t be proper.",VI
407,HAN,Proper?!,VI
408,THREEPIO,It s against my programming to impersonate a deity.,VI
409,HAN,"Why, you--",VI
410,HAN,My mistake. He s an old friend of mine.,VI
411,HAN,I have a really bad feeling about this.,VI
412,HAN,What did he say?,VI
413,THREEPIO,"I m rather embarrassed, General Solo, but it appears you are to be the main course at a banquet in my honor.",VI
414,HAN and LUKE,Leia!,VI
415,LEIA,Oh!,VI
416,THREEPIO,Your Royal Highness.,VI
417,LEIA,"But these are my friends. Threepio, tell them they must be set free.",VI
