line,character,dialogue,episode
240,ANNOUNCER,Imperial troops have entered the base.,V
241,HAN,Come on...that s it.,V
242,LEIA,Give the evacuation code signal. And get to  your transports!,V
243,HEAD CONTROLLER,K-one-zero...all troops disengage.,V
244,THREEPIO,Oh! Wait for me!,V
245,OFFICER,Begin retreat!,V
246,SECOND OFFICER,Fall back!,V
247,VEERS,Distance to power generators?,V
248,PILOT,"One-seven, decimal two-eight.",V
249,VEERS,Target. Maximum fire power.,V
250,HAN,"Transport, this is Solo. Better take off -- I  can t get to you. I ll get the princess out on the Falcon.",V
251,THREEPIO,But...but...but...where are you going? Uh...come back!!,V
252,THREEPIO,Wait! Wait for me! Wait! Stop!,V
253,THREEPIO,How typical.,V
254,HAN,Come on.,V
255,HAN,"Hurry up, goldenrod, or you re going to be a permanent resident!",V
256,THREEPIO,Wait! Wait!,V
257,HAN,How s this?,V
258,LEIA,Would it helped if I got out and pushed?,V
259,HAN,It might.,V
260,THREEPIO,"Captain Solo, Captain Solo...sir, might I suggest that  you...",V
261,THREEPIO,It can wait.,V
262,LEIA,The bucket of bolts is never going to get us past that blockade.,V
263,HAN,"This baby s got a few surprises left in her, sweetheart.",V
264,HAN,Come on! Come on! Switch over. Let s hope we don t have a  burnout.,V
265,HAN,See?,V
266,LEIA,"Someday you re going to be wrong, and I hope I m there to see it.",V
267,HAN,Punch it!,V
268,LUKE,Artoo! Get her ready for takeoff.,V
269,WEDGE,"Good luck, Luke. See you at the rendezvous.",V
270,LUKE,"Don t worry, Artoo. We re going, we re going.",V
271,LUKE,"There s nothing wrong, Artoo. I m just setting a  new course.",V
272,LUKE,We re not going to regroup with the others.,V
273,LUKE,We re going to the Dagobah system.,V
274,LUKE,"Yes, Artoo?",V
275,LUKE,That s all right. I d like to keep it  on manual control for a while.,V
276,HAN,I saw them! I saw them!,V
277,LEIA,Saw what?,V
278,HAN,"Star Destroyers, two of them, coming right at us.",V
279,THREEPIO,"Sir, sir! Might I suggest...",V
280,HAN,Shut him up or shut him down!  Check the  deflector shield!,V
281,HAN,"Oh, great. Well, we can still outmaneuver them.",V
282,IMPERIAL OFFICER,Take evasive action!,V
283,HAN,Prepare to make the jump to light-speed.,V
284,THREEPIO,"But, sir!",V
285,LEIA,They re getting closer!,V
286,HAN,Oh yeah? Watch this.,V
287,LEIA,Watch what?,V
288,HAN,I think we re in trouble.,V
289,THREEPIO,"If I may say so, sir, I noticed earlier the hyperdrive  motivator has been damaged. It s impossible to go to light-speed!",V
290,HAN,We re in trouble!,V
291,HAN,Horizontal boosters...!,V
292,HAN,Alluvial dampers...! Well that s not it.,V
293,HAN,Bring me the hydrospanners!,V
294,HAN,I don t know how we re going to get out of this one.,V
295,HAN,Oww! Chewie!,V
296,HAN,That was no laser blast! Something hit us.,V
297,LEIA,"Han, get up here!",V
298,HAN,"Come on, Chewie!",V
299,LEIA,Asteroids!,V
300,HAN,"Oh, no! Chewie, set two-seven-one.",V
301,LEIA,What are you doing? You re not actually going into an asteroid  field?,V
302,HAN,"They d be crazy to follow us, wouldn t they?",V
303,LEIA,You don t have to do this to impress me.,V
304,THREEPIO,"Sir, the possibility of successfully navigating an asteroid  field is approximately three thousand, seven hundred and twenty to one.",V
305,HAN,Never tell me the odds!,V
306,HAN,"You said you wanted to be around when I made a mistake; well,  this could be it, sweetheart.",V
307,LEIA,I take it back. We re going to get pulverized if we stay out  here much longer.,V
308,HAN,I m not going to argue with that.,V
309,THREEPIO,Pulverized?,V
310,HAN,I m going in closer to one of the big ones.,V
311,LEIA,Closer?,V
312,THREEPIO,Closer?!,V
313,THREEPIO,"Oh, this is suicide!",V
314,HAN,There. That looks pretty good.,V
315,LEIA,What looks pretty good?,V
316,HAN,Yeah. That ll do nicely.,V
317,THREEPIO,"Excuse me, ma am, but where are we going?",V
318,LEIA,I hope you know what you re doing.,V
319,HAN,"Yeah, me too.",V
320,LUKE,"Yes, that s it. Dagobah.",V
321,LUKE,"No, I m not going to change my mind about this.   I m not picking up any cities or technology. Massive life-form readings, though. There s something alive down there...",V
322,LUKE,"Yes, I m sure it s perfectly safe for droids.",V
323,LUKE,"I know, I know! All the scopes are dead. I can t  see a thing! Just hang on, I m going to start the landing cycle...",V
324,LUKE,"No, Artoo, you stay put. I ll have a look around.",V
325,LUKE,Artoo?,V
326,LUKE,Artoo! Where are you?,V
327,LUKE,Artoo! You be more careful.,V
328,LUKE,Artoo -- that way!,V
329,LUKE,Artoo!,V
330,LUKE,"Oh, no! Are you all right? Come on. You re lucky you don t taste  very good. Anything broken?",V
331,LUKE,"If you re saying coming here was a bad idea, I m beginning to  agree with you. Oh, Artoo, what are we doing here? It s like... something out of a dream, or, I don t know. Maybe I m just going crazy.",V
332,VADER,"Yes, Admiral?",V
333,PIETT,"Our ships have sighted the Millennium Falcon, lord. But...it  has entered an asteroid field and we cannot risk...",V
334,VADER,"Asteroids do not concern me, Admiral. I want  that ship and not excuses.",V
335,PIETT,"Yes, lord.",V
336,HAN,I m going to shut down everything but the emergency power  systems.,V
337,THREEPIO,"Sir, I m almost afraid to ask, but...does that include  shutting me down, too?",V
338,HAN,"No, I need you to talk to the Falcon, find out what s wrong with  the hyperdrive.",V
339,THREEPIO,"Sir, it s quite possible this asteroid is not entirely  stable.",V
340,HAN,"Not entirely stable? I m glad you re here to tell us these  things.  Chewie, take the professor in the back and plug him into the hyperdrive.",V
341,THREEPIO,"Oh! Sometimes I just don t understand human behavior. After  all, I m only trying to do my job in the most...",V
342,LEIA,Let go.,V
343,HAN,Sshh!,V
344,LEIA,"Let go, please.",V
345,HAN,Don t get excited.,V
346,LEIA,"Captain, being held by you isn t quite enough to get me excited.",V
347,HAN,"Sorry, sweetheart. We haven t got time for anything else.",V
348,LUKE,Ready for some power? Okay. Let s see now. Put that in there.  There you go.,V
349,LUKE,Now all I have to do is find this Yoda...if he even  exists.,V
350,LUKE,Still...there s something familiar about this place. I feel  like...I don t know...,V
351,STRANGE VOICE,Feel like what?,V
352,LUKE,Like we re being watched!,V
353,CREATURE,Away with your weapon! I mean you no harm.,V
354,CREATURE,"I am wondering, why are you here?",V
355,LUKE,I m looking for someone.,V
356,CREATURE,"Looking? Found someone, you have, I would say, hmmm?",V
357,LUKE,Right.,V
358,CREATURE,"Help you I can. Yes, mmmm.",V
359,LUKE,I don t think so. I m looking for a great warrior.,V
360,CREATURE,Ahhh! A great warrior.  Wars not  make one great.,V
361,LUKE,Put that down. Hey! That s my dinner.,V
362,CREATURE,"How you get so big, eating food of this kind?",V
363,LUKE,"Listen, friend, we didn t mean to land in that puddle, and if we  could get our ship out, we would, but we can t, so why don t you just...",V
364,CREATURE,"Aww, cannot get your ship out?",V
365,LUKE,"Hey, you could have broken this. Don t do that. Ohhh...you re  making a mess. Hey, give me that!",V
366,CREATURE,Mine! Or I will help you not.,V
367,LUKE,I don t want your help. I want my lamp back. I ll need it to get  out of this slimy mudhole.,V
368,CREATURE,Mudhole? Slimy? My home this is.,V
369,CREATURE,"Ah, ah, ah!",V
370,LUKE,"Oh, Artoo, let him have it.",V
371,CREATURE,Mine! Mine!,V
372,LUKE,Artoo!,V
373,CREATURE,Mine!,V
374,CREATURE,Mine!,V
375,LUKE,"Now will you move along, little fella? We re got a lot  of work to do.",V
376,CREATURE,"No! No, no! Stay and help you, I will.  Find your  friend, hmm?",V
377,LUKE,"I m not looking for a friend, I m looking for a Jedi Master.",V
378,CREATURE,Oohhh. Jedi Master. Yoda. You seek Yoda.,V
379,LUKE,You know him?,V
380,CREATURE,"Mmm. Take you to him, I will.  Yes, yes. But now, we  must eat. Come. Good food. Come.",V
381,CREATURE,"Come, come.",V
382,LUKE,"Stay here and watch after the camp, Artoo.",V
383,THREEPIO,"Oh, where is Artoo when I need him?",V
384,THREEPIO,"Sir, I don t know where your ship learned to communicate,  but it has the most peculiar dialect. I believe, sir, it says that the power coupling on the negative axis has been polarized. I m afraid you ll have to replace it.",V
385,HAN,"Well, of course I ll have to replace it.",V
386,HAN,Here! And Chewie...,V
387,HAN,...I think we d better replace the negative power  coupling.,V
388,HAN,"Hey, Your Worship, I m only trying to help.",V
389,LEIA,Would you please stop calling me that?,V
390,HAN,"Sure, Leia.",V
391,LEIA,"Oh, you make it so difficult sometimes.",V
